,text
0,Light travels faster than sound. This is why some people appear bright until they speak.
1,"When people ask me stupid questions, it is my legal obligation to give a sarcastic remark."
2,It’s okay if you don’t like me. Not everyone has good taste.
3,"You look good when your eyes are closed, but you look the best when my eyes closed."
4,"Mirrors can’t talk, lucky for you they can’t laugh either."
5,If had a dollar for every smart thing you say. I’ll be poor.
6,"I don’t believe in plastic surgery. But in your case, go ahead."
7,Are you always so stupid or is today a special ocassion?
8,"I feel so miserable without you, it’s almost like having you here."
9,If you find me offensive. Then I suggest you quit finding me.
10,Everyone seems normal until you get to know them.
11,If I wanted to kill myself I would climb your ego and jump to your IQ.
12,I love sarcasm. It’s like punching people in the face but with words.
13,I don’t have the energy to pretend to like you today.
14,"I’m not saying I hate you, what I’m saying is that you are literally the Monday of my life."
15,I’m sorry I hurt your feelings when I called you stupid. I really thought you already knew.
16,Sarcasm – the ability to insult idiots without them realizing it.
17,Unless your name is Google stop acting like you know everything.
18,Yet despite the look on my face… you are still talking.
19,Find your patience before I lose mine.
20,Just because I don’t care doesn’t mean I don’t understand.
21,Sometimes I need what only you can provide: your absence.
22,Sarcasm: because arguing with stupid people just wouldn’t be as much fun.
23,"Sarcasm is the secret language that everyone uses when they want to say something mean to your ,face."
24,Always remember that you’re unique. Just like everyone else.
25,Silence is golden. Duct tape is silver.
26,"I’d tell you to go to hell, but I work there and don’t want to see your ugly mug every day."
27,"I never forget a face, but in your case, I’ll be glad to make an exception."
28,Sarcasm: Helping the intelligent politely tolerate the obtuse for thousands of years.
29,"Everyone has the right to be stupid, but you are abusing the privilege."
30,People say that laughter is the best medicine… your face must be curing the world.
31,"If at first, you don’t succeed, skydiving is not for you."
32,My imaginary friend says that you need a therapist.
33,"Let’s share… You’ll take the grenade, I’ll take the pin."
34,"Fighting with me is like being in the special olympics. You may win, but in the end you’re still ,a retard."
35,Well at least your mom thinks you’re pretty.
36,My neighbor’s diary says that I have boundary issues.
37,Just because the voices only talk to me doesn’t mean you should get all jealous. You’re just a little too crazy for their taste.
38,Don’t worry about what people think. They don’t do it very often.
39,"If you think nobody cares if you’re alive, try missing a couple of car payments."
40,"I clapped because it’s finished, not because I like it."
41,"I’m not listening, but keep talking. I enjoy the way your voice makes my ears bleed."
42,I’m not sarcastic. I’m just intelligent beyond your understanding.
43,"Sarcasm, because beating the crap out of people is illegal."
44,Sarcasm is the body’s natural defense against stupidity.
45,"I am busy right now, can I ignore you some other time?,"
46,"That is the ugliest top I’ve ever seen, yet it compliments your face perfectly."
47,"Life’s good, you should get one."
48,"No, you don’t have to repeat yourself. I was ignoring you the first time."
49,Sarcasm is the lowest form of wit! Yet it remains the funniest!
50,I’m sorry while you were talking I was trying to figure where the hell you got the idea I cared.
51,"Just keep talking, I yawn when I’m interested."
52,"Well, my imaginary friend thinks you have serious mental problems."
53,I’ve got a good heart but this mouth…
54,Cancel my subscription because I don’t need your issues.
55,Me pretending to listen should be enough for you.
56,"If you’re waiting for me to give a shit, you better pack a lunch. It’s going to be while."
57,"Ugliness can be fixed, stupidity is forever."
58,Zombies eat brains. You’re safe.
59,Are you always this retarded or are you making a special effort today?
60,You’d be in good shape… if you ran as much as your mouth.
61,"If karma doesn’t hit you, I gladly will."
62,Keep rolling your eyes. Maybe you’ll find a brain back there.
63,Tact is for people who aren’t witty enough to use sarcasm.
64,"You always do me a favor, when you shut up!"
65,"Tell me how I have upset you, because I want to know how to do it again."
66,I’m not crazy! The voices tell me I am entirely sane.
67,Sure I’ll help you out… the same way you came in.
68,Shut your mouth when you’re talking to me.
69,I’d agree with you but then we’d both be wrong.
70,Think I am sarcastic? Watch me pretend to care!
71,My friends are so much cooler than yours. They’re invisible.
72,"If it looks like I give a damn, please tell me. I don’t want to give off the wrong impression."
73,You sound better with your mouth closed.
74,If ignorance is bliss. You must be the happiest person on this planet.
75,I’m smiling… that alone should scare you.
76,"If you wrote down every single thought you ever had you would get an award for the shortest story ,ever."
77,"If I promise to miss you, will you go away?"
78,"I’ll try being nicer, if you try being smarter."
79,Thank you for leaving my side when I was alone. I realized I can do so much without you.
